stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
1,0000080692,"磁控連接線;;;;;;550mm;JST VHR-5+TKP,HL20P-03;",EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
2,0000081548,軸承;滾珠;8504-2RS;;輝遠;輝遠,EA,0.0,8010.0,0.0,0.0,4630.0,0.0,3380.0,chênh lệch=80.00
3,0000082212,螺帽;焊接;M10x1.5P;G10;防鏽油;,EA,0.0,155394.0,0.0,0.0,95168.0,0.0,60226.0,chênh lệch=40.00
4,0000082605,墊圈;平;Φ6.0xΦ16.0x1.0T;不鏽鋼;;,EA,0.0,1846.0,0.0,0.0,0.0,0.0,1846.0,
5,0000082795,止擋環;軸承;;SPHC;φ25.5x10x5T;鍍白鋅;EP80;,EA,0.0,3190.0,0.0,0.0,962.0,0.0,2228.0,
6,0000084630,安全開關;;;;新進/R13-69;TM501,EA,0.0,11962.0,0.0,0.0,7036.0,0.0,4926.0,
7,0000086279,螺絲;圓柱;M10x1.5Px25L;;六角承窩;;電著黑;;;,EA,0.0,43920.0,0.0,0.0,23057.0,0.0,20863.0,
8,0000086513,螺絲;圓柱;M10x1.5Px40L;;六角承窩;;鍍黑鋅;;G12.9;,EA,0.0,320.0,0.0,0.0,0.0,0.0,320.0,
9,0000087483,螺絲;傘頭;M4x0.7Px35L;;十字;;鍍黑鋅;;;,EA,0.0,9444.0,0.0,0.0,0.0,0.0,9444.0,
10,0000089111,膠帶;泡棉;雙面;20x30x3t;TM501;,EA,0.0,11859.0,0.0,0.0,6933.0,0.0,4926.0,
11,0000089636,主軸;皮帶輪;;S45C;塗防鏽油;EP78;Φ52x125;,EA,0.0,20.0,0.0,0.0,0.0,0.0,20.0,
12,0000089637,"皮帶輪;多槽;;;HT200,J8Φ198;EP78",EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
13,0000089832,軸承;滾珠;6205LUZ(TUTZ)/C3;Φ25xΦ52x15T;TPI;,EA,0.0,800.0,0.0,0.0,0.0,0.0,800.0,
14,0000089860,端塞;C-SAFE;;尼龍 66;黑色/Black C;;TM507;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
15,0000090571,固定片;;;SPHC;43x43x1.6T;;TM507;,EA,0.0,1200.0,0.0,0.0,0.0,0.0,1200.0,
16,0000090959,螺帽;六角;M10x1.5P;G10;鍍鉻;,EA,0.0,615.0,0.0,0.0,16.0,0.0,599.0,
17,0000092113,皮帶輪;平;;FC25;Φ282;S70;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
18,0000092805,軸承;自動調心;2204-2RS;Φ20xΦ47x18T;輝遠;,EA,0.0,1440.0,0.0,0.0,0.0,0.0,1440.0,
19,0000093219,護套;;;PVC;紅色;VCP 100030R;EP79;,EA,0.0,10723.0,0.0,0.0,6933.0,0.0,3790.0,
