stt,material,material_description,dvt,ton_dau_ky,nhap_kho_trong_ky,chuyen_mdsd,xuat_khau,xuat_khac,ton_cuoi_ky,ghi_chu
1,MAS1213-00KM,MF;LS-LHR;AS2028K;;KM;NA;M,EA,0.0,30.0,0.0,30.0,0.0,0.0,
2,MAS1217-02,MF;G3-MS40CK;AS1110K;KM;NA;M,EA,0.0,10.0,0.0,10.0,0.0,0.0,
3,MAS1217-39,MF;G3-MS40CK;AS1110K;KM;NA;M,EA,0.0,15.0,0.0,15.0,0.0,0.0,
4,MAS1218-39,MF;G3-MS50CK;AS1111K;KM;NA;M,EA,0.0,5.0,0.0,5.0,0.0,0.0,
5,MAS1219-02,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,0.0,9.0,0.0,9.0,0.0,0.0,
6,MAS1219-39,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,0.0,21.0,0.0,21.0,0.0,0.0,
7,MAS1226-00US,MF;VS-FTHP;AS1853K;KM;NA;M,EA,0.0,198.0,0.0,198.0,0.0,0.0,
8,MAS1227-00US,MF;VS-FTIW;AS1855K;KM;NA;M,EA,0.0,209.0,0.0,209.0,0.0,0.0,
9,MAS1230-39,MF;GFTDPST;AS2072K;KM;NA;M,EA,0.0,55.0,0.0,55.0,0.0,0.0,
10,MAS1231-256,MF;GFTEDG-CK;AS2068K;KM;NA;M,EA,0.0,20.0,0.0,20.0,0.0,0.0,
11,MAS1233-256,MF;GFTLDR;AS2073K;KM;NA;M,EA,0.0,65.0,0.0,65.0,0.0,0.0,
12,MAS1239-256,MF;GFT-XLCK;AS2074K;KM;NA;M,EA,0.0,30.0,0.0,30.0,0.0,0.0,
13,MAS1243-34,MF;MD-AP-MH;AS1847K;KM;NA;M,EA,0.0,10.0,0.0,3.0,0.0,7.0,
14,MAS1245-34,MF;MD-IFISTEP;AS1852K;KM;NA;M,EA,0.0,10.0,0.0,7.0,0.0,3.0,
15,MAS1246-34,MF;MD-IW;AS1846K;KM;NA;M,EA,0.0,50.0,0.0,50.0,0.0,0.0,
16,MAS1247-34,MF;MD-S70-AP;AS1850K;KM;NA;M,EA,0.0,10.0,0.0,10.0,0.0,0.0,
17,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,0.0,88.0,0.0,84.0,4.0,0.0,TP dual-role (input cho TP khác)
18,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,0.0,88.0,0.0,76.0,0.0,12.0,
19,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,0.0,318.0,0.0,303.0,0.0,0.0,
20,MEP2560-01US,MF;E-ESPF-F;EP719L;US/KM;100~240V;M,EA,0.0,322.0,0.0,281.0,56.0,0.0,TP dual-role (input cho TP khác)
21,MEP2561-01US,MF;E-ES-F;EP719M;US/KM;100~240V;M,EA,0.0,142.0,0.0,104.0,38.0,0.0,TP dual-role (input cho TP khác)
22,MFC0110-00US,MF;TBCC-02;FC210K;US/KM;NA;M,EA,0.0,161.0,0.0,161.0,0.0,0.0,
23,MFW0502-02,MF;A78-03;FW505;KM;NA;M,EA,0.0,48.0,0.0,45.0,0.0,3.0,
24,MFW0502-39,MF;A78-03;FW505;KM;NA;M,EA,0.0,74.0,0.0,62.0,12.0,0.0,TP dual-role (input cho TP khác)
25,MFW0502-570,MF;A78-03;FW505;KM;NA;M,EA,0.0,2.0,0.0,2.0,0.0,0.0,
26,MFW0502-571,MF;A78-03;FW505;KM;NA;M,EA,0.0,192.0,0.0,148.0,16.0,13.0,TP dual-role (input cho TP khác)
27,MFW0502-571IN,MF;A78-03;FW505;KM;NA;M,EA,0.0,4.0,0.0,2.0,2.0,0.0,TP dual-role (input cho TP khác)
28,MFW0502-575,MF;A78-03;FW505;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
29,MFW0502-597,MF;A78-03;FW505;KM;NA;M,EA,0.0,11.0,0.0,6.0,0.0,5.0,
30,MFW0503-289DE,MF;A678-03;FW506;KM;NA;M,EA,0.0,3.0,0.0,3.0,0.0,0.0,
31,MFW0503-414,MF;A678-03;FW506;KM;NA;M,EA,0.0,19.0,0.0,14.0,0.0,5.0,
32,MFW0503-460,MF;A678-03;FW506;KM;NA;M,EA,0.0,90.0,0.0,70.0,5.0,13.0,TP dual-role (input cho TP khác)
33,MFW0503-460IN,MF;A678-03;FW506;KM;NA;M,EA,0.0,9.0,0.0,5.0,0.0,4.0,
34,MFW0503-490,MF;A678-03;FW506;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
35,MFW0503-491,MF;A678-03;FW506;KM;NA;M,EA,0.0,5.0,0.0,1.0,0.0,4.0,
36,MFW0503-510,MF;A678-03;FW506;KM;NA;M,EA,0.0,74.0,0.0,69.0,5.0,0.0,TP dual-role (input cho TP khác)
37,MFW0503-511,MF;A678-03;FW506;KM;NA;M,EA,0.0,8.0,0.0,6.0,2.0,0.0,TP dual-role (input cho TP khác)
38,MFW0503-512,MF;A678-03;FW506;KM;NA;M,EA,0.0,6.0,0.0,1.0,1.0,4.0,TP dual-role (input cho TP khác)
39,MFW0503-517,MF;A678-03;FW506;KM;NA;M,EA,0.0,3.0,0.0,3.0,0.0,0.0,
40,MFW0503-518,MF;A678-03;FW506;KM;NA;M,EA,0.0,17.0,0.0,13.0,0.0,4.0,
41,MFW0503-520,MF;A678-03;FW506;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
42,MFW0503-523,MF;A678-03;FW506;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
43,MFW0503-583,MF;A678-03;FW506;KM;NA;M,EA,0.0,20.0,0.0,20.0,0.0,0.0,
44,MFW0503-584,MF;A678-03;FW506;KM;NA;M,EA,0.0,10.0,0.0,10.0,0.0,0.0,
45,MFW0503-591,MF;A678-03;FW506;KM;NA;M,EA,0.0,19.0,0.0,15.0,0.0,4.0,
46,MFW0503-594,MF;A678-03;FW506;KM;NA;M,EA,0.0,5.0,0.0,5.0,0.0,0.0,
47,MFW0503-595,MF;A678-03;FW506;KM;NA;M,EA,0.0,20.0,0.0,20.0,0.0,0.0,
48,MFW0503-721IN,MF;A678-03;FW506;KM;NA;M,EA,0.0,8.0,0.0,4.0,0.0,4.0,
49,MFW0503-724,MF;A678-03;FW506;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
50,MFW0504-02,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,32.0,0.0,29.0,0.0,3.0,
51,MFW0504-02JP,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,4.0,0.0,4.0,0.0,0.0,
52,MFW0504-08,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,7.0,0.0,4.0,0.0,3.0,
53,MFW0504-39,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,394.0,0.0,334.0,29.0,9.0,TP dual-role (input cho TP khác)
54,MFW0504-39IN,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,11.0,0.0,7.0,4.0,0.0,TP dual-role (input cho TP khác)
55,MFW0504-39JP,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,5.0,0.0,5.0,0.0,0.0,
56,MFW0504-39PT,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,6.0,0.0,1.0,5.0,0.0,TP dual-role (input cho TP khác)
57,MFW0504-406,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,169.0,0.0,159.0,0.0,10.0,
58,MFW0504-406ES,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,49.0,0.0,39.0,0.0,10.0,
59,MFW0504-57,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,41.0,0.0,18.0,2.0,21.0,TP dual-role (input cho TP khác)
60,MFW0504-717IN,MF;MG-A59-07;FW209K;KM;NA;M,EA,0.0,9.0,0.0,6.0,0.0,3.0,
61,MFW0510-02,MF;MG-A86-05;FW512;KM;NA;M,EA,0.0,8.0,0.0,8.0,0.0,0.0,
62,MFW0510-39,MF;MG-A86-05;FW512;KM;NA;M,EA,0.0,18.0,0.0,10.0,8.0,0.0,TP dual-role (input cho TP khác)
63,MFW0511-02,MF;MG-A505;FW513;KM;NA;M,EA,0.0,22.0,0.0,22.0,0.0,0.0,
64,MFW0511-39,MF;MG-A505;FW513;KM;NA;M,EA,0.0,15.0,0.0,8.0,1.0,6.0,TP dual-role (input cho TP khác)
65,MFW0511-39JP,MF;MG-A505;FW513;KM;NA;M,EA,0.0,6.0,0.0,2.0,0.0,4.0,
66,MFW0512-02,MF;MG-A515;FW514;KM;NA;M,EA,0.0,32.0,0.0,31.0,0.0,1.0,
67,MFW0512-02JP,MF;MG-A515;FW514;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
68,MFW0512-08,MF;MG-A515;FW514;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
69,MFW0512-23IN,MF;MG-A515;FW514;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
70,MFW0512-39,MF;MG-A515;FW514;KM;NA;M,EA,0.0,193.0,0.0,186.0,1.0,4.0,TP dual-role (input cho TP khác)
71,MFW0512-39JP,MF;MG-A515;FW514;KM;NA;M,EA,0.0,15.0,0.0,8.0,6.0,1.0,TP dual-role (input cho TP khác)
72,MFW0512-718IN,MF;MG-A515;FW514;KM;NA;M,EA,0.0,14.0,0.0,12.0,0.0,2.0,
73,MFW0513-02,MF;MG-A510;FW515;KM;NA;M,EA,0.0,315.0,0.0,315.0,0.0,0.0,
74,MFW0513-39,MF;MG-A510;FW515;KM;NA;M,EA,0.0,1369.0,0.0,1312.0,5.0,52.0,TP dual-role (input cho TP khác)
75,MFW0513-39IN,MF;MG-A510;FW515;KM;NA;M,EA,0.0,16.0,0.0,8.0,0.0,8.0,
76,MFW0513-39JP,MF;MG-A510;FW515;KM;NA;M,EA,0.0,22.0,0.0,18.0,0.0,4.0,
77,MFW0513-39TW,MF;MG-A510;FW515;KM;NA;M,EA,0.0,6.0,0.0,1.0,0.0,5.0,
78,MFW0513-407,MF;MG-A510;FW515;KM;NA;M,EA,0.0,445.0,0.0,462.0,0.0,0.0,
79,MFW0513-407ES,MF;MG-A510;FW515;KM;NA;M,EA,0.0,79.0,0.0,71.0,0.0,8.0,
80,MFW0514-02,MF;MG-A541;FW516;KM;NA;M,EA,0.0,46.0,0.0,46.0,0.0,0.0,
81,MFW0514-39,MF;MG-A541;FW516;KM;NA;M,EA,0.0,90.0,0.0,88.0,0.0,0.0,
82,MFW0514-39JP,MF;MG-A541;FW516;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
83,MFW0515-02,MF;MG-A544;FW517;KM;NA;M,EA,0.0,62.0,0.0,59.0,0.0,3.0,
84,MFW0515-39,MF;MG-A544;FW517;KM;NA;M,EA,0.0,37.0,0.0,32.0,0.0,5.0,
85,MFW0516-02,MF;MG-A538;FW518;KM;NA;M,EA,0.0,15.0,0.0,15.0,0.0,0.0,
86,MFW0516-08,MF;MG-A538;FW518;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
87,MFW0516-39,MF;MG-A538;FW518;KM;NA;M,EA,0.0,72.0,0.0,59.0,0.0,13.0,
88,MFW0517-02,MF;MG-A528;FW519;KM;NA;M,EA,0.0,19.0,0.0,18.0,0.0,1.0,
89,MFW0517-39,MF;MG-A528;FW519;KM;NA;M,EA,0.0,85.0,0.0,76.0,0.0,9.0,
90,MFW0517-39JP,MF;MG-A528;FW519;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
91,MFW0518-02,MF;MG-A536;FW520;KM;NA;M,EA,0.0,18.0,0.0,18.0,0.0,0.0,
92,MFW0518-39,MF;MG-A536;FW520;KM;NA;M,EA,0.0,38.0,0.0,38.0,0.0,0.0,
93,MFW0519-02,MF;MG-A526;FW521;KM;NA;M,EA,0.0,6.0,0.0,6.0,0.0,0.0,
94,MFW0519-39,MF;MG-A526;FW521;KM;NA;M,EA,0.0,20.0,0.0,17.0,0.0,3.0,
95,MFW0520-02,MF;G1-FW159_9;FW522;KM;NA;M,EA,0.0,32.0,0.0,32.0,0.0,0.0,
96,MFW0520-17,MF;G1-FW159_9;FW522;KM;NA;M,EA,0.0,171.0,0.0,149.0,5.0,12.0,TP dual-role (input cho TP khác)
97,MFW0520-17IN,MF;G1-FW159_9;FW522;KM;NA;M,EA,0.0,11.0,0.0,6.0,5.0,0.0,TP dual-role (input cho TP khác)
98,MFW0520-17JP,MF;G1-FW159_9;FW522;KM;NA;M,EA,0.0,4.0,0.0,2.0,0.0,2.0,
99,MFW0521-02,MF;G1-FW158_9;FW158K;KM;NA;M,EA,0.0,1.0,0.0,1.0,0.0,0.0,
100,MFW0521-17,MF;G1-FW158_9;FW158K;KM;NA;M,EA,0.0,5.0,0.0,3.0,0.0,2.0,
101,MFW0521-17JP,MF;G1-FW158_9;FW158K;KM;NA;M,EA,0.0,5.0,0.0,5.0,0.0,0.0,
