stt,ma_sp_xk,ten_sp_xk,dvt_sp,ma_nvl,ten_nvl,dvt_nvl,dinh_muc_thuc_te,ghi_chu,flag_review
1,MAS1213-00KM,MF;LS-LHR;AS2028K;;KM;NA;M,EA,1000535699,扶手組;;;;黑砂紋漆;DM515;;AS2028;SKD出越南特殊需求,EA,1.0,,
2,MAS1217-02,MF;G3-MS40CK;AS1110K;KM;NA;M,EA,1000532473,拆卸連接組;;;冰銀金;AS1110;;SKD出越南特殊需求,EA,1.0,E15,
3,MAS1217-39,MF;G3-MS40CK;AS1110K;KM;NA;M,EA,1000532490,拆卸連接組;;;霧黑;AS1110;;SKD出越南特殊需求,EA,1.0,E15,
4,MAS1218-39,MF;G3-MS50CK;AS1111K;KM;NA;M,EA,1000532511,拆卸連接組;;;霧黑;AS1111;;SKD出越南特殊需求,EA,1.0,,
5,MAS1218-39,MF;G3-MS50CK;AS1111K;KM;NA;M,EA,1000533112,護蓋組;;;;AS1111;;SKD出越南特殊需求,EA,1.0,,
6,MAS1219-02,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,1000532515,拆卸連接組;;;冰銀金;AS1112;;SKD出越南特殊需求,EA,1.0,E15,
7,MAS1219-39,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,1000532524,拆卸連接組;;;蕾絲白;AS1112;;SKD出越南特殊需求,EA,0.047619,E15,
8,MAS1219-39,MF;G3-MS80CK;AS1112K;KM;NA;M,EA,1000532525,拆卸連接組;;;霧黑;AS1112;;SKD出越南特殊需求,EA,0.952381,E15,
9,MAS1226-00US,MF;VS-FTHP;AS1853K;KM;NA;M,EA,1000532015,握把組;;;;AS1853;;SKD出越南特殊需求,EA,1.0,E15,
10,MAS1227-00US,MF;VS-FTIW;AS1855K;KM;NA;M,EA,1000532021,選擇片組;輔助;;黑平光;AS1855;;SKD出越南特殊需求,EA,1.0,,
11,MAS1230-39,MF;GFTDPST;AS2072K;KM;NA;M,EA,1000537661,基座組;;;霧黑(Black Matte);;;AS2125;SKD出越南特殊需,EA,1.0,,
12,MAS1230-39,MF;GFTDPST;AS2072K;KM;NA;M,EA,1000537668,墊子組;;;黑曜石黑;AS2072;;SKD出越南特殊需求,EA,1.0,,
13,MAS1231-256,MF;GFTEDG-CK;AS2068K;KM;NA;M,EA,1000537701,連接組;;;霧黑;AS2068;;SKD出越南特殊需求,EA,1.0,E15,
14,MAS1233-256,MF;GFTLDR;AS2073K;KM;NA;M,EA,1000537702,車架連接組;;;霧黑(Black Matte);;;AS2073;SKD出越南特,EA,1.0,,
15,MAS1239-256,MF;GFT-XLCK;AS2074K;KM;NA;M,EA,1000537703,車架連接組;;;霧黑(Black Matte);;;AS2074;SKD出越南特,EA,1.0,E15,
16,MAS1243-34,MF;MD-AP-MH;AS1847K;KM;NA;M,EA,1000537729,扶手組;;;;;;AS1847;SKD出越南特殊需求,EA,1.0,,
17,MAS1245-34,MF;MD-IFISTEP;AS1852K;KM;NA;M,EA,1000537736,腳踏組;;;霧黑(Black Matte);;;AS1852;SKD出越南特殊需,EA,1.0,E15,
18,MAS1246-34,MF;MD-IW;AS1846K;KM;NA;M,EA,1000533555,支撐組;;;霧黑(Black Matte);AS1846;;SKD出越南特殊需求,EA,1.0,,
19,MAS1247-34,MF;MD-S70-AP;AS1850K;KM;NA;M,EA,1000532005,支撐座組;;;霧黑;AS1850;;SKD出越南特殊需求,EA,1.0,E15,
20,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000529909,車架組;;;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.999999,E15,
21,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000529910,貼地桿組;;前;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.651162,,
22,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000529913,貼地桿組;;後;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.651162,,
23,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530092,曲柄組;;右;;CB206E;;SKD出越南特殊需求,EA,0.960169,,
24,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530094,曲柄組;;左;;CB206E;;SKD出越南特殊需求,EA,0.960169,,
25,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530095,其他組;;;零件盒;CB206E;;SKD出越南特殊需求,EA,0.919811,,
26,MCB2059-01US,MF;U-ES-F;CB206K;US/KM;100~240V;M,EA,1000530115,儀表護蓋組;;後;;CB206E;;SKD出越南特殊需求,EA,0.988505,E15,
27,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000529909,車架組;;;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.022727,E15,
28,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000529910,貼地桿組;;前;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.014799,,
29,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000529913,貼地桿組;;後;石墨灰;CB206C;;SKD出越南特殊需求,EA,0.014799,,
30,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530090,車架組;;;O-PF紫色;CB206E;;SKD出越南特殊需求,EA,0.977273,E15,
31,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530091,貼地桿組;;後;O-PF紫色;CB206E;;SKD出越南特殊需求,EA,0.977273,E15,
32,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530092,曲柄組;;右;;CB206E;;SKD出越南特殊需求,EA,0.890546,,
33,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530093,貼地桿組;;前;O-PF紫色;CB206E;;SKD出越南特殊需求,EA,0.977273,,
34,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530094,曲柄組;;左;;CB206E;;SKD出越南特殊需求,EA,0.890546,,
35,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530095,其他組;;;零件盒;CB206E;;SKD出越南特殊需求,EA,0.894725,,
36,MCB2207-01US,MF;U-ESPF-F;CB206N;US/KM;100~240V;M,EA,1000530115,儀表護蓋組;;後;;CB206E;;SKD出越南特殊需求,EA,1.010972,E15,
37,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529908,車架組;;;PF紫色;EP719E;;SKD出越南特殊需求,EA,0.002906,E15,
38,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529911,搖臂組;;左;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.002906,E15,
39,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529912,搖臂組;;右;霧黑+透明漆;EP719E;;SKD出越南特殊需求,EA,0.002886,,
40,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529930,車架組;;;石墨灰;EP719C;;SKD出越南特殊需求,EA,1.039604,E15,
41,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529931,護蓋組;;;連接臂;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
42,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529932,美國外部電源線組;;;;EP719C;;SKD出越南特殊需求,EA,0.880253,E15,
43,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529933,搖臂組;;左;霧黑;EP719C;;SKD出越南特殊需求,EA,1.03241,E15,
44,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529934,搖臂組;;右;霧黑;EP719C;;SKD出越南特殊需求,EA,1.03241,E15,
45,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529935,儀表護蓋組;;後;;EP719C;;SKD出越南特殊需求,EA,1.036743,E15,
46,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000529936,其他組;;;零件包;EP719C;;SKD出越南特殊需求,EA,1.145349,E15,
47,MEP2554-01US,MF;E-ES-F;EP719K;US/KM;100~240V;M,EA,1000530102,螺絲包;;;;EP719C;;SKD出越南特殊需求,EA,1.0,E15,
